raceId,driverId,total_stops,avg_stop_time,min_stop_time,total_pit_time
869,808,3,18.826,18.323,56.479
869,811,3,28.359,18.313,85.077
869,813,3,18.98,18.085,56.941
869,814,2,17.934,17.899,35.867
869,815,2,18.171,18.143,36.342
869,817,2,18.182,17.99,36.364
869,818,3,19.092,18.425,57.275
869,819,2,18.606,17.821,37.212
870,1,2,19.748,19.059,39.495
870,3,2,20.492,20.352,40.984
870,4,2,19.517,19.365,39.034
870,5,3,21.067,20.567,63.202
870,8,2,19.929,19.772,39.859
870,10,2,20.86,20.383,41.72
870,13,2,19.949,19.917,39.898
870,17,3,19.391,19.175,58.172
870,18,3,19.615,19.083,58.846
870,20,3,19.225,18.964,57.675
870,30,3,18.346,13.199,55.038
870,37,2,22.104,21.877,44.209
870,39,2,21.645,21.259,43.29
870,154,2,21.191,20.231,42.382
870,155,2,20.15,20.065,40.299
870,807,2,20.672,20.607,41.343
870,808,3,20.726,20.515,62.177
870,811,2,20.408,20.213,40.817
870,813,3,17.755,13.206,53.265
870,814,2,20.406,20.352,40.812
870,815,2,20.268,20.216,40.536
870,817,3,20.056,19.63,60.167
870,818,4,19.866,19.6,79.465
870,819,2,21.146,20.915,42.293
871,3,2,20.798,20.534,41.596
871,5,2,37.068,21.931,74.137
871,8,2,20.336,20.289,40.672
871,10,2,21.562,20.66,43.123
871,13,2,20.678,20.306,41.355
871,17,2,20.647,20.385,41.293
871,18,1,19.668,19.668,19.668
871,20,1,20.811,20.811,20.811
871,30,2,21.25,20.835,42.499
871,37,3,25.399,22.064,76.198
871,39,2,23.238,22.523,46.476
871,155,3,23.674,21.669,71.023
871,807,2,21.424,20.696,42.848
871,808,2,23.576,21.18,47.152
871,811,2,21.86,21.69,43.72
871,813,1,21.842,21.842,21.842
871,814,2,21.258,21.115,42.517
871,817,2,20.673,20.287,41.347
871,818,2,20.868,20.66,41.737
871,819,1,21.611,21.611,21.611
872,1,1,20.736,20.736,20.736
872,3,2,22.1,21.854,44.2
872,4,1,21.515,21.515,21.515
872,5,2,22.324,21.91,44.647
872,8,1,21.73,21.73,21.73
872,10,2,25.664,22.581,51.328
872,13,1,22.161,22.161,22.161
872,17,1,21.556,21.556,21.556
872,18,1,23.375,23.375,23.375
872,20,2,18.656,15.008,37.311
872,30,2,22.278,22.247,44.557
872,37,1,23.488,23.488,23.488
872,39,1,31.745,31.745,31.745
872,155,1,22.874,22.874,22.874
872,807,1,22.746,22.746,22.746
872,808,2,22.496,22.182,44.993
872,811,1,22.985,22.985,22.985
872,813,2,22.392,21.814,44.784
872,814,1,22.19,22.19,22.19
872,815,1,22.472,22.472,22.472
872,816,1,21.962,21.962,21.962
872,817,1,21.72,21.72,21.72
872,819,2,23.042,22.046,46.085
873,1,1,29.124,29.124,29.124
873,3,2,29.617,29.546,59.233
873,4,2,29.374,29.19,58.747
873,5,3,30.257,30.099,90.771
873,8,2,29.52,29.37,59.039
873,10,2,31.496,30.977,62.992
873,13,3,30.272,29.403,90.816
873,17,3,29.328,29.304,87.985
873,18,2,29.84,29.662,59.681
873,20,2,30.127,29.117,60.254
873,30,2,30.608,30.338,61.217
873,37,3,36.589,32.625,109.768
873,39,1,32.436,32.436,32.436
873,154,2,31.916,31.753,63.833
873,155,3,32.56,30.693,97.681
873,807,3,31.859,30.363,95.577
873,808,4,34.512,30.341,138.048
873,811,3,30.61,30.317,91.829
873,813,3,30.585,30.234,91.755
873,814,2,30.528,30.029,61.055
873,815,2,30.13,30.043,60.26
873,817,2,30.391,29.789,60.781
873,818,2,30.198,29.898,60.397
873,819,2,30.74,30.647,61.481
874,1,2,20.471,19.794,40.942
874,5,2,22.747,22.678,45.494
874,8,2,21.062,20.901,42.123
874,10,2,21.091,20.662,42.182
874,13,2,20.857,20.778,41.714
874,17,2,26.577,20.691,53.153
874,18,2,20.666,20.233,41.332
874,20,2,20.427,20.346,40.854
874,30,2,20.511,20.379,41.022
874,37,2,24.387,22.487,48.774
874,39,1,23.227,23.227,23.227
874,154,3,27.755,21.143,83.265
874,155,2,20.772,20.762,41.545
874,807,2,21.348,21.007,42.695
874,808,3,18.995,14.25,56.985
874,811,4,21.191,14.608,84.764
874,813,2,21.24,21.118,42.479
874,814,2,21.204,21.063,42.407
874,815,1,21.273,21.273,21.273
874,817,2,21.73,21.516,43.46
